rosbagTimestamp,name,pose,position,x,y,z,orientation,x,y,z,w,position,x,y,z,orientation,x,y,z,w,twist,linear,x,y,z,angular,x,y,z,linear,x,y,z,angular,x,y,z
72000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00215890920362,-3.27291376196E-06,0.239125523266,,1.64736926508E-06,-0.00688760686207,-3.80140527258E-06,0.999976280146,,,0,0,0,,0,0,0,,0.140911410616,-0.00103214557105,-0.108348707365,,0.000956355251354,-0.495044008742,-0.00247311536548
73000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00229970395305,-4.21725379732E-06,0.239008941241,,2.45315085366E-06,-0.0071260036174,-5.13087029424E-06,0.999974609698,,,0,0,0,,0,0,0,,0.140767406863,-0.000947015830677,-0.116552202593,,0.00162013251432,-0.476797369386,-0.002648831933
74000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00244202484162,-5.4791963527E-06,0.238898058469,,2.96098731126E-06,-0.00736055703285,-6.58618895844E-06,0.999972910707,,,0,0,0,,0,0,0,,0.141969105221,-0.00128477942182,-0.111647901505,,0.00108528422017,-0.468295739138,-0.00297244387079
75000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00258390429268,-6.69556214598E-06,0.238778161536,,3.78481865773E-06,-0.00758564885113,-8.18261299877E-06,0.999971228511,,,0,0,0,,0,0,0,,0.141855083939,-0.00121886445012,-0.119870423128,,0.0016610566396,-0.450189348691,-0.00318250745822
76000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00272718725505,-8.15629757134E-06,0.238663726776,,4.32396032504E-06,-0.0078067749424,-9.82506007291E-06,0.999969526611,,,0,0,0,,0,0,0,,0.142957990289,-0.00148850553362,-0.115143776897,,0.00117728326826,-0.441501990627,-0.00336267803251
77000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00287006650623,-9.59904616511E-06,0.238540325785,,5.14724028461E-06,-0.00801851560757,-1.16410331299E-05,0.999967851106,,,0,0,0,,0,0,0,,0.14285758938,-0.00144530424992,-0.123377382515,,0.00166375614739,-0.423488239234,-0.00362186703676
78000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00301430445582,-1.12101756955E-05,0.238422264834,,5.70054823762E-06,-0.00822625572165,-1.34226412545E-05,0.99996616368,,,0,0,0,,0,0,0,,0.143927713457,-0.00164534706525,-0.11874254875,,0.0012394611471,-0.414760849486,-0.00366190454826
79000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00315815839308,-1.28316528091E-05,0.238295257532,,6.51349084208E-06,-0.00842466142993,-1.5413871418E-05,0.99996451177,,,0,0,0,,0,0,0,,0.143834753589,-0.00162418828337,-0.126986287991,,0.00164616771458,-0.396819077297,-0.00397285760466
80000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00330336472154,-1.45524126633E-05,0.238173523098,,7.07060459435E-06,-0.00861907400469,-1.72987795256E-05,0.999962854917,,,0,0,0,,0,0,0,,0.144905484259,-0.00176137235069,-0.12240094321,,0.00127941982169,-0.388123462915,-0.00388927260673
81000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00344820336051,-1.63087763744E-05,0.238042853896,,7.86672349181E-06,-0.00880419470746,-1.94252017711E-05,0.999961242107,,,0,0,0,,0,0,0,,0.144821743145,-0.00175924638048,-0.1306505526,,0.00161509465159,-0.370249508747,-0.0042437901448
